"subject" "activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()"
1 "WALKING" 0.265696920582133 -0.0182981725176081 -0.10784573454611 0.744867411573487 -0.0825562579855908 0.072339870389049 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.453632943768818 -0.453632943768818 -0.545431612066571 -0.475404785802305 -0.639517432642651 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.478448523354179 -0.499075765624092 -0.535002770337752 -0.645970655298847
2 "STANDING" 0.273113115788079 -0.0191323183174834 -0.115649958175497 0.660782866688742 -0.147219886910411 0.134865335090728 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.535281800541722 -0.535281800541722 -0.58777744543543 -0.614771054893146 -0.746559539039735 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.514569861316887 -0.509746432970861 -0.699742945221854 -0.751615078360927
3 "WALKING" 0.273428719636364 -0.017856067384956 -0.106492632429097 0.707814353343108 -0.0260590480328739 0.0480937904190616 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.563140802770059 -0.563140802770059 -0.650182434328446 -0.643150121648094 -0.784056656246334 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.579076453758064 -0.604752108072727 -0.716822144279179 -0.810085498651026
4 "STANDING" 0.274183111498423 -0.0148081545344921 -0.107521430810726 0.706593043123028 0.112591195496986 0.164130896618297 0.0788637845151419 0.00351340949514196 -0.00737375142832808 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.107859315713249 -0.0400427574662461 -0.0578089304000631 -0.56158213510694 -0.56158213510694 -0.656116311856877 -0.656291093847319 -0.819191368044164 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.652023078038801 -0.601696223759495 -0.825154871135647 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.602098037677603 -0.63501900541041 -0.745650754608833 -0.838833209652997
5 "WALKING" 0.279177960301325 -0.0154833455336192 -0.105661736816887 0.698153719072848 0.112313109736755 0.0921607197449904 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.460866415568709 -0.460866415568709 -0.589313870006622 -0.602770284825828 -0.707383517582782 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.528503022745033 -0.573176177044172 -0.677355755703311 -0.748829309536424
6 "WALKING" 0.272376614181538 -0.0175697042641846 -0.11599454136 0.688702063569231 0.0162055455953846 0.0475199990906462 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.464770006998123 -0.464770006998123 -0.551413652396923 -0.549494852037046 -0.621936158532308 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.537201442069846 -0.621188724858462 -0.507604207506462 -0.473974924380431 -0.494882316238462 -0.579130051151385 -0.651886909221538
7 "WALKING" 0.270211697814935 -0.0187904887668182 -0.112492375388312 0.681289120844156 -0.0420221452496753 0.0342160711928604 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.511312036747403 -0.511312036747403 -0.622815767680292 -0.581899897967532 -0.713191348337662 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.518323878824675 -0.553360009658182 -0.628877272791136 -0.668879188156396
8 "WALKING" 0.278268887727273 -0.0144537072594949 -0.109006309141414 0.601782571919192 0.187298246666667 0.177007409196192 0.0686095366464646 0.00496415698757576 -0.0110211649991919 -0.0246599261523232 -0.0744394650058586 0.0811768351261616 -0.107118837989899 -0.036876527389899 -0.0602582019292929 -0.684607146515152 -0.684607146515152 -0.725727509270707 -0.663265892582828 -0.790885296565657 -0.744952162134343 -0.581854533434343 -0.779333525707071 -0.766583223 -0.6623484276 -0.825870984707071 -0.683114151139394 -0.757568269575758 -0.758361298306364 -0.693568388292929 -0.715745792606061 -0.741679153929293 -0.817455544646465
8 "WALKING_UPSTAIRS" 0.266674048906593 -0.0202216031321978 -0.105614723352747 0.672365454230769 -0.0550675502272528 0.0328742204443956 0.0927048369369231 -0.00137201536971429 -0.0243776605506593 0.0189575502203297 -0.100127874875824 0.0547905121285714 -0.103800903023626 -0.0418414216578022 -0.0572174004291209 -0.350982093868132 -0.350982093868132 -0.43009251566033 -0.374467449722308 -0.60984136456044 -0.493100898158791 -0.262394129472527 -0.426764775743407 -0.496470870779121 -0.405368968365934 -0.545511445001648 -0.556923952791209 -0.477139862384066 -0.398930833626374 -0.413399661273626 -0.427796629448901 -0.538348071541758 -0.639438448496154
9 "STANDING" 0.270313841621528 -0.0209466555412396 -0.101233826213889 0.670845545555556 -0.0467446999509028 0.104353653032743 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.505183470509188 -0.505183470509188 -0.621608245092361 -0.550201866572569 -0.7629795809375 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.621377141312847 -0.699766614569444 -0.702931927996528 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.553186448295139 -0.609193721940625 -0.700863097986111 -0.786473954201389
